game_id,team_id,gold_earned,total_damage_dealt_to_champions,total_damage_taken,damage_dealt_to_turrets,wards_placed,wards_killed,vision_score,champion_mastery_level,baron_kills,dragon_kills,win
3713060996.0,100.0,55430.0,81807.0,120027.0,13361.0,55.0,12.0,27.2,9.0,0.0,0.0,0
3713060996.0,200.0,57688.0,83670.0,118769.0,21208.0,54.0,10.0,25.4,12.4,0.0,0.0,1
3713447541.0,100.0,56342.0,120129.0,119885.0,15265.0,54.0,4.0,22.0,6.2,0.0,0.0,1
3713447541.0,200.0,52123.0,94929.0,147252.0,8075.0,51.0,7.0,22.0,8.2,0.0,0.0,0
3713788668.0,100.0,70003.0,141823.0,200044.0,25622.0,72.0,15.0,37.4,4.4,0.0,0.0,0
3713788668.0,200.0,74670.0,149288.0,197274.0,18472.0,50.0,18.0,25.4,10.6,0.0,0.0,1
3713860113.0,100.0,31778.0,54051.0,102455.0,3320.0,36.0,1.0,14.2,9.0,0.0,0.0,0
3713860113.0,200.0,48804.0,81028.0,86119.0,34056.0,30.0,6.0,14.6,5.6,0.0,0.0,1
3714023146.0,100.0,75650.0,137901.0,233640.0,26289.0,63.0,16.0,30.4,5.8,1.0,0.0,1
3714023146.0,200.0,69804.0,198257.0,177007.0,9858.0,98.0,11.0,42.6,22.4,0.0,0.0,0
3714029990.0,100.0,60215.0,114229.0,180139.0,4250.0,54.0,24.0,31.0,16.4,0.0,0.0,0
3714029990.0,200.0,71485.0,153632.0,162281.0,22611.0,82.0,22.0,38.8,13.8,0.0,1.0,1
3714064881.0,100.0,39993.0,57208.0,108991.0,2949.0,24.0,2.0,10.6,4.6,0.0,0.0,0
3714064881.0,200.0,54367.0,85073.0,104426.0,26227.0,47.0,3.0,20.4,14.8,0.0,1.0,1
3714163054.0,100.0,76247.0,148288.0,189987.0,23019.0,63.0,25.0,40.4,27.6,0.0,0.0,1
3714163054.0,200.0,64192.0,143041.0,171761.0,16887.0,56.0,20.0,29.2,17.4,0.0,0.0,0
3714205057.0,100.0,62737.0,111922.0,131726.0,24934.0,53.0,5.0,21.0,7.4,0.0,0.0,1
3714205057.0,200.0,47961.0,77400.0,135101.0,10679.0,41.0,9.0,18.4,5.0,0.0,0.0,0
3714735803.0,100.0,55402.0,96307.0,95052.0,25637.0,61.0,5.0,20.8,7.8,0.0,0.0,1
3714735803.0,200.0,45638.0,72013.0,121472.0,9674.0,47.0,15.0,21.6,11.2,0.0,0.0,0
3714751579.0,100.0,66064.0,117098.0,177642.0,17779.0,58.0,15.0,31.4,20.0,0.0,0.0,1
3714751579.0,200.0,64122.0,133338.0,156457.0,21129.0,53.0,11.0,27.0,12.6,0.0,1.0,0
3715057779.0,100.0,62598.0,137923.0,242113.0,6741.0,75.0,4.0,25.8,10.0,0.0,2.0,0
3715057779.0,200.0,77006.0,207804.0,192049.0,25655.0,70.0,6.0,31.8,42.4,0.0,0.0,1
3715127659.0,100.0,46399.0,86368.0,114119.0,9199.0,41.0,9.0,18.4,6.0,0.0,1.0,0
3715127659.0,200.0,55140.0,85796.0,120136.0,33948.0,50.0,11.0,23.6,7.4,0.0,0.0,1
3715164279.0,100.0,43670.0,62595.0,162059.0,3154.0,33.0,4.0,12.0,12.6,0.0,0.0,0
3715164279.0,200.0,61408.0,131392.0,115388.0,31314.0,52.0,2.0,23.2,12.2,1.0,3.0,1
3715250108.0,100.0,38729.0,67115.0,116397.0,314.0,33.0,7.0,15.0,4.8,0.0,0.0,0
3715250108.0,200.0,50915.0,90337.0,109854.0,24736.0,39.0,11.0,20.4,5.2,0.0,0.0,1
3715471634.0,100.0,74142.0,157629.0,175517.0,21441.0,78.0,21.0,31.0,16.2,0.0,0.0,1
3715471634.0,200.0,67336.0,125382.0,195420.0,7578.0,89.0,22.0,38.2,5.6,0.0,0.0,0
3715494771.0,100.0,60272.0,127510.0,120960.0,22229.0,49.0,13.0,26.2,19.2,0.0,0.0,1
3715494771.0,200.0,54760.0,90567.0,151830.0,14802.0,58.0,5.0,24.4,66.4,0.0,0.0,0
3715510849.0,100.0,68894.0,141559.0,202781.0,18146.0,65.0,9.0,25.4,54.0,0.0,0.0,1
3715510849.0,200.0,72362.0,165594.0,179632.0,22974.0,67.0,13.0,37.0,24.4,0.0,2.0,0
3715634402.0,100.0,64463.0,123416.0,161019.0,24829.0,55.0,5.0,25.0,10.0,0.0,0.0,1
3715634402.0,200.0,60420.0,117084.0,152725.0,16101.0,52.0,2.0,19.2,19.2,0.0,0.0,0
3715774287.0,100.0,91032.0,200600.0,287574.0,21119.0,84.0,21.0,40.2,4.0,1.0,0.0,0
3715774287.0,200.0,85407.0,230052.0,250578.0,28078.0,92.0,18.0,44.6,7.2,0.0,1.0,1
3715954195.0,100.0,76817.0,186407.0,228119.0,24114.0,85.0,17.0,34.2,15.2,0.0,0.0,1
3715954195.0,200.0,71496.0,199991.0,236982.0,9010.0,64.0,13.0,27.0,2.8,0.0,1.0,0
3715987611.0,100.0,61982.0,133333.0,187757.0,21202.0,49.0,12.0,23.4,9.0,0.0,0.0,0
3715987611.0,200.0,66337.0,162648.0,164178.0,29442.0,69.0,16.0,31.6,37.8,0.0,0.0,1
3715992794.0,100.0,55676.0,126551.0,212692.0,20496.0,42.0,8.0,20.0,16.6,0.0,1.0,0
3715992794.0,200.0,65027.0,175638.0,172350.0,27595.0,57.0,3.0,24.2,10.0,0.0,0.0,1
3716154228.0,100.0,57066.0,103702.0,152745.0,19166.0,53.0,8.0,23.2,18.0,0.0,2.0,0
3716154228.0,200.0,68738.0,126538.0,147829.0,25850.0,62.0,13.0,27.6,26.8,0.0,0.0,1
3716207509.0,100.0,55993.0,95155.0,122620.0,22515.0,52.0,10.0,22.0,7.2,0.0,0.0,1
3716207509.0,200.0,50540.0,94538.0,120954.0,10705.0,49.0,11.0,19.8,26.0,0.0,0.0,0
3716229688.0,100.0,56251.0,90227.0,90739.0,25625.0,58.0,0.0,23.4,9.6,0.0,1.0,1
3716229688.0,200.0,46126.0,62476.0,115934.0,11689.0,44.0,2.0,17.2,18.2,0.0,0.0,0
3716251893.0,100.0,68900.0,120998.0,197727.0,25333.0,59.0,13.0,34.0,21.6,0.0,0.0,1
3716251893.0,200.0,66709.0,151336.0,148737.0,12899.0,52.0,10.0,24.6,15.6,0.0,0.0,0
3716471052.0,100.0,52419.0,105744.0,148881.0,14903.0,48.0,15.0,26.4,65.2,0.0,0.0,1
3716471052.0,200.0,50239.0,119768.0,136949.0,8502.0,54.0,12.0,23.8,12.8,0.0,0.0,0
3716477975.0,100.0,69225.0,127307.0,168879.0,23075.0,52.0,19.0,24.6,6.8,0.0,0.0,1
3716477975.0,200.0,70806.0,126532.0,171741.0,23198.0,64.0,13.0,32.2,18.6,1.0,2.0,0
3716484117.0,100.0,65467.0,106415.0,147245.0,16483.0,66.0,4.0,27.0,27.0,1.0,3.0,1
3716484117.0,200.0,57403.0,108230.0,134366.0,16679.0,50.0,3.0,19.6,8.4,0.0,0.0,0
